filial;op;recurso;operacao;integrado;produto;producao;retrabalho;segundos;situacao;situDesc;criacao;aponta
108;03945901001;HA;30;0;PAN01205;0.2250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.4000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1500;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.3000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2000;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.1250;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;19227;10;Produção;05/04/2023;08/04/2023
108;03945901001;HA;30;0;PAN01205;0.5000;0;9709;10;Produção;05/04/2023;18/04/2023
108;03945901001;HA;30;0;PAN01205;0.4750;0;9709;10;Produção;05/04/2023;18/04/2023
108;03945901001;HA;30;0;PAN01205;0.0250;0;11632;10;Produção;05/04/2023;18/04/2023
108;03945901001;HA;30;0;PAN01205;0.0500;0;11632;10;Produção;05/04/2023;18/04/2023
108;03945901001;HA;30;0;PAN01205;0.2750;0;11632;10;Produção;05/04/2023;18/04/2023
108;03945901001;HA;30;0;PAN01205;0.3250;0;11632;10;Produção;05/04/2023;18/04/2023
